Nome;Sobrenome;Posicao_Jogador;ID_Jogador;ID_Jogo;Data_Hora_Jogo;Nome_Time;Nome_Oponente;Casa;Minutos;Pontos;Assistencias;3PTS_Feitos;reboundsDefensive;reboundsOffensive;Rebotes
Oso;Ighodaro;F;1642345.0;22500785;11/02/2026;Suns;Thunder;1.0;16.49;8.0;2.0;0.0;1.0;3.0;4.0
Ryan;Dunn;F;1642346.0;22500785;11/02/2026;Suns;Thunder;1.0;22.48;2.0;1.0;0.0;4.0;0.0;4.0
Rasheer;Fleming;F;1642853.0;22500785;11/02/2026;Suns;Thunder;1.0;19.43;8.0;2.0;2.0;1.0;2.0;3.0
Khaman;Maluach;C;1642863.0;22500785;11/02/2026;Suns;Thunder;1.0;12;6.0;0.0;0.0;4.0;2.0;6.0
Koby;Brea;G;1642886.0;22500785;11/02/2026;Suns;Thunder;1.0;7.49;6.0;0.0;2.0;1.0;0.0;1.0
Domantas;Sabonis;F-C;1627734.0;22500786;11/02/2026;Kings;Jazz;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Lauri;Markkanen;F-C;1628374.0;22500786;11/02/2026;Jazz;Kings;1.0;20.33;19.0;3.0;1.0;4.0;3.0;7.0
Jaren;Jackson Jr.;F-C;1628991.0;22500786;11/02/2026;Jazz;Kings;1.0;22.11;23.0;2.0;1.0;4.0;0.0;4.0
Svi;Mykhailiuk;G-F;1629004.0;22500786;11/02/2026;Jazz;Kings;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Drew;Eubanks;F-C;1629234.0;22500786;11/02/2026;Kings;Jazz;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
De'Andre;Hunter;F-G;1629631.0;22500786;11/02/2026;Kings;Jazz;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
John;Konchar;G;1629723.0;22500786;11/02/2026;Jazz;Kings;1.0;19.11;0.0;0.0;0.0;0.0;1.0;1.0
Precious;Achiuwa;F;1630173.0;22500786;11/02/2026;Kings;Jazz;0.0;16.04;6.0;1.0;0.0;4.0;1.0;5.0
Oscar;Tshiebwe;F-C;1631131.0;22500786;11/02/2026;Jazz;Kings;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Vince;Williams Jr.;G;1631246.0;22500786;11/02/2026;Jazz;Kings;1.0;21.22;9.0;3.0;3.0;6.0;2.0;8.0
Daeqwon;Plowden;G-F;1631342.0;22500786;11/02/2026;Kings;Jazz;0.0;32.45;9.0;4.0;1.0;3.0;3.0;6.0
Brice;Sensabaugh;F;1641729.0;22500786;11/02/2026;Jazz;Kings;1.0;24.03;19.0;0.0;3.0;2.0;0.0;2.0
Isaiah;Stevens;;1641815.0;22500786;11/02/2026;Kings;Jazz;0.0;20.17;6.0;4.0;0.0;0.0;1.0;1.0
Elijah;Harkless;G;1641989.0;22500786;11/02/2026;Jazz;Kings;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Cody;Williams;F;1642262.0;22500786;11/02/2026;Jazz;Kings;1.0;25.04;9.0;2.0;1.0;4.0;1.0;5.0
