Nome;Sobrenome;POS;player_id;image_path
DaRon;Holmes II;F;1641747.0;assets/players/1641747.png
David;Jones Garcia;F;1642357.0;assets/players/1642357.png
Davion;Mitchell;G;1630558.0;assets/players/1630558.png
Day'Ron;Sharpe;C;1630549.0;assets/players/1630549.png
De'Aaron;Fox;G;1628368.0;assets/players/1628368.png
Dean;Wade;F-C;1629731.0;assets/players/1629731.png
Deandre;Ayton;C;1629028.0;assets/players/1629028.png
DeAndre;Jordan;C;201599.0;assets/players/201599.png
De'Andre;Hunter;F-G;1629631.0;assets/players/1629631.png
De'Anthony;Melton;G;1629001.0;assets/players/1629001.png
DeMar;DeRozan;G-F;201942.0;assets/players/201942.png
Deni;Avdija;F;1630166.0;assets/players/1630166.png
Dennis;Schroder;G;;perfiljogador.png
Dereck;Lively II;C;1641726.0;assets/players/1641726.png
Derik;Queen;C;1642852.0;assets/players/1642852.png
Derrick;White;G;1628401.0;assets/players/1628401.png
Derrick;Jones Jr.;F;1627884.0;assets/players/1627884.png
Desmond;Bane;G;1630217.0;assets/players/1630217.png
Devin;Booker;G;1626164.0;assets/players/1626164.png
Devin;Vassell;G-F;1630170.0;assets/players/1630170.png
Devin;Carter;G;1642269.0;assets/players/1642269.png
Dillon;Brooks;G-F;1628415.0;assets/players/1628415.png
Domantas;Sabonis;F-C;1627734.0;assets/players/1627734.png
Dominick;Barlow;F;1631230.0;assets/players/1631230.png
Donovan;Mitchell;G;1628378.0;assets/players/1628378.png
Donovan;Clingan;C;1642270.0;assets/players/1642270.png
Donte;DiVincenzo;G;1628978.0;assets/players/1628978.png
Dorian;Finney-Smith;F;1627827.0;assets/players/1627827.png
Doug;McDermott;F;203926.0;assets/players/203926.png
Drake;Powell;G-F;1642962.0;assets/players/1642962.png
Draymond;Green;F;203110.0;assets/players/203110.png
Drew;Eubanks;F-C;1629234.0;assets/players/1629234.png
Drew;Timme;F;;perfiljogador.png
Drew;Peterson;F;1641809.0;assets/players/1641809.png
Dru;Smith;G;1630696.0;assets/players/1630696.png
Duncan;Robinson;F;1629130.0;assets/players/1629130.png
Duop;Reath;C;1641871.0;assets/players/1641871.png
Dwight;Powell;F-C;203939.0;assets/players/203939.png
Dylan;Harper;G;1642844.0;assets/players/1642844.png
Dylan;Cardwell;C;1642928.0;assets/players/1642928.png
Dyson;Daniels;G;1630700.0;assets/players/1630700.png
E.J.;Liddell;F;1630604.0;assets/players/1630604.png
Egor;Demin;G;;perfiljogador.png
Elijah;Harkless;G;1641989.0;assets/players/1641989.png
Emanuel;Miller;F;1641801.0;assets/players/1641801.png
Eric;Gordon;G;201569.0;assets/players/201569.png
Ethan;Thompson;G;;perfiljogador.png
Evan;Mobley;C;1630596.0;assets/players/1630596.png
Franz;Wagner;F;1630532.0;assets/players/1630532.png
Gabe;Vincent;G;1629216.0;assets/players/1629216.png
Garrett;Temple;G-F;202066.0;assets/players/202066.png
Garrison;Mathews;G;;perfiljogador.png
Gary;Trent Jr.;G;1629018.0;assets/players/1629018.png
Gary;Payton II;G;1627780.0;assets/players/1627780.png
Gary;Harris;G;203914.0;assets/players/203914.png
GG;Jackson;F;1641713.0;assets/players/1641713.png
Giannis;Antetokounmpo;F;203507.0;assets/players/203507.png
Goga;Bitadze;C-F;1629048.0;assets/players/1629048.png
Gradey;Dick;G-F;1641711.0;assets/players/1641711.png
Grant;Williams;F;1629684.0;assets/players/1629684.png
Grayson;Allen;G;1628960.0;assets/players/1628960.png
Guerschon;Yabusele;F;1627824.0;assets/players/1627824.png
Gui;Santos;F;1630611.0;assets/players/1630611.png
Harrison;Barnes;F;203084.0;assets/players/203084.png
Harrison;Ingram;F;1631127.0;assets/players/1631127.png
Herbert;Jones;F;1630529.0;assets/players/1630529.png
Hugo;Gonzalez;G;;perfiljogador.png
Hunter;Tyson;F;1641816.0;assets/players/1641816.png
Hunter;Dickinson;C;1630621.0;assets/players/1630621.png
Hunter;Sallis;G;1642282.0;assets/players/1642282.png
Immanuel;Quickley;G;1630193.0;assets/players/1630193.png
Isaac;Okoro;F-G;1630171.0;assets/players/1630171.png
Isaac;Jones;F;1642403.0;assets/players/1642403.png
Isaac;Jones;F;1642403.0;assets/players/1642403.png
Isaiah;Hartenstein;C-F;1628392.0;assets/players/1628392.png
Isaiah;Stewart;F-C;1630191.0;assets/players/1630191.png
Isaiah;Joe;G;1630198.0;assets/players/1630198.png
Isaiah;Collier;G;1642268.0;assets/players/1642268.png
Isaiah;Jackson;F;1630543.0;assets/players/1630543.png
Isaiah;Livers;F;1630587.0;assets/players/1630587.png
Isaiah;Crawford;F;1642384.0;assets/players/1642384.png
Ivica;Zubac;C;1627826.0;assets/players/1627826.png
Ja;Morant;G;1629630.0;assets/players/1629630.png
Jabari;Smith Jr.;F;1631095.0;assets/players/1631095.png
